patriot_sku,name,price_day,competitor,competitor_price,diff_abs,diff_pct,alert_flag
SKU0063,EDCO Tile Scraper,80.0,Mike's Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,Fabick Rents,,,,False
SKU0064,Electric Eel Sewe...,135.0,Sunbelt Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,United Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,Farmington Rental,,,,False
SKU0064,Electric Eel Sewe...,135.0,Mike's Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,Fabick Rents,,,,False
SKU0065,FFC Preparator So...,185.0,Sunbelt Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,United Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,Farmington Rental,,,,False
SKU0065,FFC Preparator So...,185.0,Mike's Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,Fabick Rents,,,,False
SKU0066,Floor Drying Fan,25.0,Sunbelt Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,United Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,Farmington Rental,,,,False
SKU0066,Floor Drying Fan,25.0,Mike's Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,Fabick Rents,,,,False
SKU0067,Fork Extensions - 6',60.0,Sunbelt Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,United Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,Farmington Rental,,,,False
SKU0067,Fork Extensions - 6',60.0,Mike's Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,Fabick Rents,,,,False
SKU0068,Gas-Powered Press...,50.0,Sunbelt Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,United Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,Farmington Rental,,,,False
SKU0068,Gas-Powered Press...,50.0,Mike's Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,Fabick Rents,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Sunbelt Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,United Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Farmington Rental,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Mike's Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Fabick Rents,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Sunbelt Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,United Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Farmington Rental,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Mike's Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Fabick Rents,,,,False
SKU0071,Generac Magnum 25...,285.0,Sunbelt Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,United Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,Farmington Rental,,,,False
SKU0071,Generac Magnum 25...,285.0,Mike's Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,Fabick Rents,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Sunbelt Rentals,,,,False
